Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per90Gls,Per90Ast,Per90G+A,Per90G-PK,Per90G+A-PK,xG,npxG,xA,npxG+xAG,Per90xG,Per90xA,Per90xG+xA,Per90npxG,Per90npxG+xAG
George Baldock,gr GRE,DF,26,38,38,3420,38.0,2,3,2,0,0,7,0,0.05,0.08,0.13,0.05,0.13,0.6,0.6,1.7,2.4,0.02,0.05,0.06,0.02,0.06
Enda Stevens,ie IRL,DF,29,38,38,3345,37.2,2,4,2,0,0,7,0,0.05,0.11,0.16,0.05,0.16,1.3,1.3,5.3,6.6,0.04,0.14,0.18,0.04,0.18
Chris Basham,eng ENG,DF,31,38,38,3242,36.0,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,0.3,0.3,1.3,1.6,0.01,0.04,0.04,0.01,0.04
Oliver Norwood,nir NIR,MF,28,38,37,3090,34.3,1,1,0,1,1,8,0,0.03,0.03,0.06,0.00,0.03,1.5,0.7,4.3,5.0,0.04,0.13,0.17,0.02,0.15
Dean Henderson,eng ENG,GK,22,36,36,3240,36.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00
John Egan,ie IRL,DF,26,36,36,3187,35.4,2,0,2,0,0,5,1,0.06,0.00,0.06,0.06,0.06,2.7,2.7,0.4,3.2,0.08,0.01,0.09,0.08,0.09
Jack O'Connell,eng ENG,DF,25,33,32,2916,32.4,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,1.0,1.0,3.1,4.2,0.03,0.10,0.13,0.03,0.13
John Fleck,sct SCO,MF,27,30,28,2516,28.0,5,2,5,0,0,8,0,0.18,0.07,0.25,0.18,0.25,3.1,3.1,3.4,6.5,0.11,0.12,0.23,0.11,0.23
John Lundstram,eng ENG,MF,25,34,26,2458,27.3,5,3,5,0,0,5,0,0.18,0.11,0.29,0.18,0.29,5.3,5.3,3.4,8.7,0.19,0.12,0.32,0.19,0.32
Oliver McBurnie,sct SCO,FW,23,36,24,2113,23.5,6,0,6,0,0,4,0,0.26,0.00,0.26,0.26,0.26,7.7,7.7,1.1,8.8,0.33,0.05,0.38,0.33,0.38
David McGoldrick,ie IRL,FW,31,28,22,1815,20.2,2,2,2,0,0,2,0,0.10,0.10,0.20,0.10,0.20,8.0,8.0,2.3,10.3,0.40,0.12,0.51,0.40,0.51
Sander Berge,no NOR,MF,21,14,12,943,10.5,1,1,1,0,0,0,0,0.10,0.10,0.19,0.10,0.19,0.6,0.6,0.6,1.3,0.06,0.06,0.12,0.06,0.12
Lys Mousset,fr FRA,FW,23,30,11,1240,13.8,6,4,6,0,0,1,0,0.44,0.29,0.73,0.44,0.73,5.5,5.5,3.2,8.8,0.40,0.23,0.64,0.40,0.64
Billy Sharp,eng ENG,FW,33,25,10,1051,11.7,3,2,3,0,0,1,1,0.26,0.17,0.43,0.26,0.43,3.8,3.8,2.3,6.1,0.33,0.19,0.52,0.33,0.52
Callum Robinson,ie IRL,FWMF,24,16,9,676,7.5,1,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,1.6,1.6,0.4,2.0,0.21,0.05,0.26,0.21,0.26
Ben Osborn,eng ENG,MFDF,24,13,6,594,6.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.1,0.04,0.13,0.17,0.04,0.17
Jack Robinson,eng ENG,DF,25,6,6,504,5.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.03,0.03,0.00,0.03
Luke Freeman,eng ENG,MF,27,11,3,366,4.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.02,0.04,0.06,0.02,0.06
Muhamed BeÅ¡iÄ,ba BIH,MF,26,9,2,250,2.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.06,0.03,0.08,0.06,0.08
Phil Jagielka,eng ENG,DF,36,6,2,244,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Simon Moore,eng ENG,GK,29,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Richairo Å½ivkoviÄ,nl NED,FW,22,5,0,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.08,0.14,0.06,0.14
Leon Clarke,eng ENG,FWMF,34,2,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,1.19,0.00,1.19,1.19,1.19
Jack Rodwell,eng ENG,MF,28,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ravel Morrison,jm JAM,MF,26,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.34,0.00,0.34,0.34,0.34
Kieron Freeman,wls WAL,FW,27,2,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Squad Total,,,26.9,38,418,3420,38.0,36,25,35,1,1,63,2,0.95,0.66,1.61,0.92,1.58,43.0,42.2,34.0,76.3,1.13,0.90,2.03,1.11,2.01
Opponent Total,,,26.7,38,418,3420,38.0,39,28,38,1,3,46,0,1.03,0.74,1.76,1.00,1.74,51.0,48.6,38.1,86.7,1.34,1.00,2.34,1.28,2.28
