,Teams,HomeGF,HomeGA,HomexG,HomexGA,AwayGF,AwayGA,AwayxG,AwayxGA
0,Brighton S1,24,25,23.8,22.0,10,29,13.399999999999999,28.700000000000003
1,Brighton S2,19,28,20.000000000000004,24.0,16,32,15.200000000000001,35.099999999999994
2,Huddersfield S1,16,25,17.5,21.099999999999998,12,33,13.899999999999999,27.499999999999996
3,Huddersfield S2,10,31,16.1,28.2,12,45,12.599999999999998,32.800000000000004
4,Leeds S1,28,21,30.800000000000004,22.999999999999996,34,33,24.8,35.199999999999996
5,Leeds S2,19,38,28.099999999999998,33.800000000000004,23,41,22.4,39.6
6,Newcastle S1,21,17,22.3,20.599999999999998,18,30,19.3,31.799999999999997
7,Newcastle S2,24,25,22.599999999999994,25.199999999999996,18,23,16.400000000000002,28.299999999999997
8,Sheffield United S1,24,15,26.8,21.499999999999996,15,24,16.2,29.8
9,Sheffield United S2,12,27,18.0,30.3,8,36,15.0,32.099999999999994
10,Aston Villa S1,12,27,18.0,30.3,8,36,15.0,32.099999999999994
11,Aston Villa S2,29,27,28.1,25.9,26,19,24.599999999999998,25.4
12,Wolves S1,28,21,31.199999999999996,19.0,19,25,20.700000000000003,23.1
13,Wolves S2,27,19,29.6,18.200000000000003,24,21,24.599999999999998,19.9
