"Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999"
"Christopher Schindler,de GER,DF,28,37,37,3260,36.2,1,0,1,0,0,5,1,0.03,0.00,0.03,0.03,0.03,1.1,1.1,0.2,1.3,0.03,0.01,0.04,0.03,0.04,Matches,8ae9869d"
"Terence Kongolo,nl NED,DF,24,32,32,2716,30.2,1,1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,1.3,1.3,1.1,2.3,0.04,0.04,0.08,0.04,0.08,Matches,1f9a3a04"
"Jonas Lössl,dk DEN,GK,29,31,30,2778,30.9,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02,Matches,939bc634"
"Jonathan Hogg,eng ENG,MF,29,29,29,2367,26.3,0,1,0,0,0,8,1,0.00,0.04,0.04,0.00,0.04,0.3,0.3,0.8,1.1,0.01,0.03,0.04,0.01,0.04,Matches,9306d5ea"
"Alex Pritchard,eng ENG,MFFW,25,30,26,2081,23.1,2,0,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,2.7,2.7,1.8,4.5,0.12,0.08,0.19,0.12,0.19,Matches,ff9fcd4d"
"Aaron Mooy,au AUS,MFFW,27,29,25,2330,25.9,3,1,2,1,1,4,0,0.12,0.04,0.15,0.08,0.12,2.8,2.1,2.6,4.6,0.11,0.10,0.21,0.08,0.18,Matches,47b7e3af"
"Philip Billing,dk DEN,MF,22,27,25,2188,24.3,2,0,2,0,0,7,0,0.08,0.00,0.08,0.08,0.08,1.8,1.8,1.7,3.4,0.07,0.07,0.14,0.07,0.14,Matches,d328a254"
"Mathias Jørgensen,dk DEN,DF,28,24,24,2147,23.9,3,1,3,0,0,6,0,0.13,0.04,0.17,0.13,0.17,1.4,1.4,0.3,1.7,0.06,0.01,0.07,0.06,0.07,Matches,0db5d2c8"
"Chris Löwe,de GER,DFMF,29,29,23,2057,22.9,0,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,1.7,2.4,0.03,0.08,0.10,0.03,0.10,Matches,c6896eab"
"Erik Durm,de GER,DF,26,28,21,2055,22.8,0,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,0.4,0.4,0.6,1.0,0.02,0.03,0.04,0.02,0.04,Matches,cf623c78"
"Florent Hadergjonaj,xk KVX,DFMF,24,24,19,1842,20.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.5,1.7,0.01,0.07,0.08,0.01,0.08,Matches,9aa186b2"
"Steve Mounié,bj BEN,FW,23,31,19,1778,19.8,2,3,2,0,0,1,1,0.10,0.15,0.25,0.10,0.25,5.8,5.8,1.9,7.7,0.30,0.09,0.39,0.30,0.39,Matches,19ba6c6d"
"Juninho Bacuna,cw CUW,MFDF,20,21,16,1412,15.7,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,1.4,2.1,0.04,0.09,0.14,0.04,0.14,Matches,aaf1bf05"
"Elias Kachunga,cd COD,FWMF,26,20,13,1182,13.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.07,0.02,0.08,0.07,0.08,Matches,5bddccc9"
"Tommy Smith,eng ENG,DF,26,15,13,1141,12.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches,e9208654"
"Laurent Depoitre,be BEL,FW,29,23,10,1068,11.9,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,2.5,2.5,0.7,3.2,0.21,0.06,0.27,0.21,0.27,Matches,aa5859cb"
"Isaac Mbenza,be BEL,FWMF,22,22,10,986,11.0,1,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,1.0,1.0,0.9,1.9,0.09,0.09,0.17,0.09,0.17,Matches,aa1a8c7e"
"Karlan Grant,eng ENG,FW,20,13,9,877,9.7,4,0,4,0,0,0,0,0.41,0.00,0.41,0.41,0.41,3.6,3.6,0.3,3.9,0.37,0.03,0.40,0.37,0.40,Matches,87f7500e"
"Jon Gorenc Stanković,si SVN,MFDF,22,11,9,715,7.9,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,1.0,1.0,0.1,1.1,0.13,0.01,0.14,0.13,0.14,Matches,9c74fa25"
"Ben Hamer,eng ENG,GK,30,7,7,552,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d822a850"
"Adama Diakhaby,fr FRA,FWMF,22,12,6,552,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,1.1,0.11,0.07,0.18,0.11,0.18,Matches,65585e3a"
"Rajiv van La Parra,nl NED,FWMF,27,5,5,405,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.05,0.02,0.07,0.05,0.07,Matches,1931bde9"
"Jason Puncheon,eng ENG,MF,32,6,5,382,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.06,0.12,0.19,0.06,0.19,Matches,fd3f57ce"
"Danny Williams,us USA,MF,29,5,1,96,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.04,0.06,0.02,0.06,Matches,ec9a28ce"
"Joel Coleman,eng ENG,GK,22,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b73e459a"
"Aaron Rowe,eng ENG,FW,17,2,1,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4b6bcb0d"
"Abdelhamid Sabiri,ma MAR,FW,21,2,1,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4830e0af"
"Demeaco Duhaney,eng ENG,DF,19,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5ef608f7"
"Ramadan Sobhi,eg EGY,FWMF,21,4,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.22,0.22,0.00,0.22,Matches,98be0d02"
"Matty Daly,eng ENG,MF,17,2,0,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,03e48abb"
"Collin Quaner,de GER,FW,27,2,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.17,0.17,0.00,0.17,Matches,19b8b0b9"
"Ryan Schofield,eng ENG,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,74947a21"
"Squad Total,,,26.2,38,418,3420,38.0,21,13,20,1,1,56,4,0.55,0.34,0.89,0.53,0.87,28.8,28.0,19.9,47.9,0.76,0.52,1.28,0.74,1.26,,-9999"
