Club,Expenditure,Net
Chelsea FC,€469.30m,€-191.45m
Manchester City,€396.09m,€-247.14m
Liverpool FC,€355.85m,€-130.03m
Everton FC,€303.00m,€-147.97m
Manchester United,€281.10m,€-205.05m
Arsenal FC,€233.00m,€-61.90m
Leicester City,€198.45m,€-52.55m
West Ham United,€157.70m,€-74.91m
Brighton & Hove Albion,€153.62m,€-139.60m
Wolverhampton Wanderers,€137.36m,€-107.74m
Fulham FC,€136.67m,€-113.12m
AFC Bournemouth,€125.90m,€-105.70m
Tottenham Hotspur,€123.50m,€-14.35m
Southampton FC,€123.50m,€950k
Stoke City,€120.60m,€-55.31m
Huddersfield Town,€107.45m,€-88.67m
Newcastle United,€106.25m,€-33.98m
Watford FC,€103.50m,€-32.92m
Swansea City,€80.54m,€51.82m
Burnley FC,€68.74m,€-10.74m
West Bromwich Albion,€68.69m,€-40.04m
Crystal Palace,€60.80m,€-57.45m
Cardiff City,€52.87m,€-50.22m
