,Club,Expenditure,Net
0,Chelsea FC,€365.20m,€-183.45m
1,Manchester City,€312.30m,€-154.50m
2,Arsenal FC,€253.40m,€-202.85m
3,Aston Villa,€231.15m,€-101.38m
4,Manchester United,€225.80m,€-175.60m
5,Tottenham Hotspur,€206.40m,€-158.48m
6,Leeds United,€186.70m,€-186.70m
7,Liverpool FC,€171.05m,€-124.30m
8,Newcastle United,€169.50m,€-169.23m
9,West Ham United,€129.20m,€-79.56m
10,Leicester City,€127.00m,€-69.23m
11,Wolverhampton Wanderers,€125.19m,€-14.19m
12,Everton FC,€112.87m,€-62.45m
13,Crystal Palace,€108.02m,€-88.02m
14,Brighton & Hove Albion,€103.50m,€-4.40m
15,Southampton FC,€80.40m,€6.25m
16,Norwich City,€76.84m,€5.57m
17,Sheffield United,€63.00m,€-35.00m
18,Fulham FC,€59.25m,€-53.75m
19,West Bromwich Albion,€50.77m,€-21.59m
20,Burnley FC,€50.50m,€-7.70m
21,Brentford FC,€44.00m,€19.00m
22,Watford FC,€43.50m,€36.85m
