Club,WageBill
Fulham F.C.,"£46,008,800"
Queens Park Rangers F.C.,£0
Reading F.C.,£0
Stoke City F.C.,"£20,020,000"
Swansea City A.F.C.,"£7,228,000"
Hull City F.C.,£0
Middlesbrough,"£2,520,024"
Huddersfield Town,"£13,468,000"
Birmingham City F.C.,"£1,924,000"
Bristol City F.C.,"£104,000"
Cardiff City F.C.,"£12,663,666"
Derby County F.C.,"£1,820,000"
Sheffield Wednesday F.C.,"£1,300,000"
Sunderland A.F.C.,£0
Wigan Athletic F.C.,£0
Barnsley F.C.,£0
Bolton Wanderers F.C.,£0
Burton Albion F.C.,£0
Ipswich Town F.C.,£0
Millwall F.C.,£0
Preston North End F.C.,£0
Arsenal F.C.,"£128,779,273"
Aston Villa F.C.,"£56,315,396"
Chelsea F.C.,"£144,766,000"
Everton F.C.,"£81,161,000"
Liverpool F.C.,"£132,854,000"
Manchester City F.C.,"£141,449,000"
Manchester United F.C.,"£184,315,000"
Newcastle United F.C.,"£58,366,200"
Southampton F.C.,"£49,642,000"
Tottenham Hotspur F.C.,"£129,175,200"
West Bromwich Albion F.C.,"£22,486,200"
Burnley F.C.,"£36,518,000"
Crystal Palace,"£87,291,000"
Leicester City,"£73,751,000"
Brighton & Hove Albion,"£46,049,333"
Leeds United F.C.,"£27,826,800"
Sheffield United F.C.,"£19,708,800"
Wolverhampton Wanderers F.C.,"£51,494,000"
West Ham United F.C.,"£69,464,000"
