Date,Round,Result,Venue,GF,GA,xG,xGA,xPLeeds,xPOpp,ActualPoints
2017-08-12,Matchweek 1,L,Home,0,2,0.3,1.9,0.3343933758927634,2.481564565979916,0
2017-08-19,Matchweek 2,L,Away,0,2,0.2,2.0,0.2485478391065883,2.590981283209841,0
2017-08-26,Matchweek 3,D,Away,0,0,1.1,0.3,2.028484479798368,0.6365693643172059,1
2017-09-09,Matchweek 4,W,Home,3,1,0.4,1.0,0.7918472040745458,1.8526002589388464,3
2017-09-15,Matchweek 5,L,Away,1,2,0.9,1.2,1.1224993170669857,1.5824799006341495,0
2017-09-24,Matchweek 6,W,Home,1,0,1.0,1.5,1.0164648259893678,1.7236012168052943,3
2017-10-01,Matchweek 7,L,Away,0,2,0.4,2.4,0.2714367515921231,2.5911912778673303,0
2017-10-15,Matchweek 8,D,Home,1,1,1.0,1.5,1.0164648259893678,1.7236012168052943,1
2017-10-20,Matchweek 9,W,Away,3,0,1.4,0.7,1.8888239705412142,0.8358559465681208,3
2017-10-29,Matchweek 10,D,Home,1,1,1.2,0.3,2.10136665312391,0.587636557474915,1
2017-11-04,Matchweek 11,W,Away,1,0,0.9,1.3,1.0583690624629671,1.657932178806418,3
2017-11-20,Matchweek 12,D,Home,2,2,0.5,1.0,0.8915104064403099,1.759045872723184,1
2017-11-25,Matchweek 13,L,Away,0,1,0.5,1.2,0.7730434123762479,1.9170686371091104,0
2017-11-28,Matchweek 14,D,Home,0,0,0.6,0.5,1.3777472023375636,1.1817763395851275,1
2017-12-02,Matchweek 15,L,Home,1,5,1.7,1.8,1.3270088582727717,1.449912075852138,0
2017-12-09,Matchweek 16,L,Away,0,2,0.3,2.2,0.26210707379763554,2.5906009121255944,0
2017-12-13,Matchweek 17,L,Away,0,2,0.4,1.5,0.542461035581042,2.203752903009241,0
2017-12-16,Matchweek 18,D,Home,0,0,1.5,1.2,1.5791290898769106,1.1659563491001617,1
2017-12-23,Matchweek 19,W,Home,1,0,1.1,1.5,1.0919257320620257,1.6503165648016596,3
2017-12-26,Matchweek 20,L,Away,0,2,0.5,2.1,0.4021241008425117,2.4215796060301433,0
2017-12-30,Matchweek 21,D,Away,0,0,0.5,0.5,1.2671201858967085,1.2671201858967085,1
2018-01-01,Matchweek 22,D,Home,2,2,2.4,1.5,1.9147708847959237,0.8907858418903654,1
2018-01-13,Matchweek 23,L,Away,0,2,0.6,1.0,0.9883384317481929,1.669195114147351,0
2018-01-20,Matchweek 24,L,Home,0,4,0.8,1.3,0.9760875606094157,1.7368754940133102,0
2018-01-31,Matchweek 25,D,Away,1,1,1.1,1.4,1.153174889609039,1.5804241086656052,1
2018-02-03,Matchweek 26,W,Home,3,1,1.7,0.4,2.31312111343487,0.4656648250674041,3
2018-02-10,Matchweek 27,D,Away,1,1,1.1,1.4,1.153174889609039,1.5804241086656052,1
2018-02-24,Matchweek 28,W,Home,4,1,3.0,0.6,2.641372892340717,0.24361731251680235,3
2018-03-04,Matchweek 29,W,Home,2,1,1.2,1.2,1.3616742620251483,1.3616742620251483,3
2018-03-10,Matchweek 30,L,Away,0,2,0.3,1.5,0.4618760781529138,2.289558674962709,0
2018-03-31,Matchweek 32,L,Home,0,2,1.8,1.2,1.7743164410704375,0.9939495020305722,0
2018-04-07,Matchweek 33,D,Home,1,1,1.5,1.5,1.3784166169010499,1.3784166169010499,1
2018-04-14,Matchweek 34,L,Away,2,3,1.5,2.1,1.0348469648750864,1.7538477107427648,0
2018-04-17,Matchweek 35,D,Home,1,1,1.1,1.3,1.217276603633156,1.5078001556983547,1
2018-04-28,Matchweek 36,D,Away,0,0,0.4,1.5,0.542461035581042,2.203752903009241,1
2018-05-04,Matchweek 37,W,Home,1,0,1.0,0.8,1.5004089065568402,1.1731290455159207,3
2018-05-09,Matchweek 31,L,Away,1,3,1.2,1.6,1.1060671445497259,1.646667483281227,0
2018-05-13,Matchweek 38,L,Away,0,4,0.1,2.8,0.09140602316437563,2.8297532997745387,0
