Date,Round,Result,Venue,GF,GA,xG,xGA,xPTeam,xPOpp,ActualPoints
2018-08-11,Matchweek 1,L,Home,0,3,0.3,1.9,0.3343933758927634,2.481564565979916,0
2018-08-19,Matchweek 2,L,Away,1,6,0.7,4.2,0.12111027352858834,2.743316295845879,0
2018-08-25,Matchweek 3,D,Home,0,0,0.2,0.9,0.6364459973329106,1.968013902205926,1
2018-09-01,Matchweek 4,D,Away,1,1,0.4,0.8,0.9198576400706633,1.6745751777474724,1
2018-09-15,Matchweek 5,L,Home,0,1,0.9,0.7,1.496034452605599,1.1533804779465948,0
2018-09-22,Matchweek 6,L,Away,1,3,0.7,1.7,0.6862000829047281,2.078218097050837,0
2018-09-29,Matchweek 7,L,Home,0,2,0.4,2.1,0.342420755716039,2.4896262950630503,0
2018-10-06,Matchweek 8,D,Away,1,1,1.0,0.4,1.8526002589388464,0.7918472040745458,1
2018-10-20,Matchweek 9,L,Home,0,1,0.7,0.6,1.3928088903646543,1.20760124124969,0
2018-10-27,Matchweek 10,L,Away,0,3,0.5,2.0,0.432796656992346,2.379371234314161,0
2018-11-05,Matchweek 11,W,Home,1,0,0.6,0.4,1.4707802683919615,1.067608305295273,3
2018-11-10,Matchweek 12,D,Home,1,1,1.1,1.7,0.977666255790959,1.7819863144715669,1
2018-11-25,Matchweek 13,W,Away,2,0,0.7,0.8,1.2287259787799998,1.4045694051678421,3
2018-12-01,Matchweek 14,L,Home,1,2,0.6,1.2,0.8633372662138941,1.8291180781069265,0
2018-12-04,Matchweek 15,L,Away,1,2,1.8,0.9,1.9868515068578276,0.7838509116405934,0
2018-12-08,Matchweek 16,L,Away,0,1,0.3,1.4,0.5005499162366226,2.2315482701661065,0
2018-12-15,Matchweek 17,L,Home,0,1,0.8,0.6,1.4900834668071017,1.1299677367699816,0
2018-12-22,Matchweek 18,L,Home,1,3,0.8,2.5,0.4530809741285605,2.3866575572296465,0
2018-12-26,Matchweek 19,L,Away,1,3,1.1,1.5,1.0919257320620257,1.6503165648016596,0
2018-12-29,Matchweek 20,L,Away,0,1,0.4,1.8,0.43132825802755204,2.3621989622767647,0
2019-01-02,Matchweek 21,L,Home,1,2,0.9,2.4,0.5401824331078948,2.285812091738454,0
2019-01-12,Matchweek 22,D,Away,0,0,0.5,0.1,1.6693565334794433,0.7540463194799195,1
2019-01-20,Matchweek 23,L,Home,0,3,0.9,2.0,0.693307699924367,2.0973521965515034,0
2019-01-29,Matchweek 24,L,Home,0,1,0.7,1.1,1.0150956067751526,1.6656161850215419,0
2019-02-02,Matchweek 25,L,Away,0,5,0.3,2.6,0.18911297266337398,2.69935400333037,0
2019-02-09,Matchweek 26,L,Home,1,2,1.6,1.4,1.5107611380330603,1.247363212724653,0
2019-02-23,Matchweek 27,L,Away,0,2,0.2,2.8,0.12470288101031128,2.7861760652950847,0
2019-02-26,Matchweek 28,W,Home,1,0,1.6,0.6,2.097879690767398,0.6563879657614788,3
2019-03-02,Matchweek 29,L,Away,0,1,0.2,1.2,0.49298152918964266,2.1975765353925136,0
2019-03-09,Matchweek 30,L,Home,0,2,0.3,1.9,0.3343933758927634,2.481564565979916,0
2019-03-16,Matchweek 31,L,Away,3,4,1.0,1.7,0.9056995761353729,1.8538554785066799,0
2019-03-30,Matchweek 32,L,Away,0,2,1.1,2.7,0.5490574609533547,2.2873576557100797,0
2019-04-06,Matchweek 33,L,Home,1,4,1.7,3.5,0.5848137362445741,2.2505130608202357,0
2019-04-13,Matchweek 34,L,Away,0,4,0.8,2.5,0.4530809741285605,2.3866575572296465,0
2019-04-20,Matchweek 35,L,Home,1,2,1.0,0.9,1.4213478016764518,1.260973949068917,0
2019-04-26,Matchweek 36,L,Away,0,5,0.2,3.1,0.0961737639389171,2.826227462312937,0
2019-05-05,Matchweek 37,D,Home,1,1,1.0,1.8,0.8544012740504017,1.914698361767171,1
2019-05-12,Matchweek 38,D,Away,1,1,0.7,0.6,1.3928088903646543,1.20760124124969,1
