Date,Round,Result,Venue,GF,GA,xG,xGA,xPLeeds,xPOpp
2021-08-14,Matchweek 1,L,Away,1,5,0.6,2.5,0.34886963513772956,2.5051022952073527
2021-08-21,Matchweek 2,D,Home,2,2,1.4,2.0,1.0223607503602339,1.7603047021127043
2021-08-29,Matchweek 3,D,Away,1,1,1.6,1.1,1.7174954644334957,1.033450146389525
2021-09-12,Matchweek 4,L,Home,0,3,1.1,4.4,0.19141359739820762,2.6357397618206444
2021-09-17,Matchweek 5,D,Away,1,1,1.8,1.6,1.5115301597989106,1.2626842226398631
2021-09-25,Matchweek 6,L,Home,1,2,1.3,2.2,0.8607388571828546,1.9359469771724311
2021-10-02,Matchweek 7,W,Home,1,0,2.1,0.2,2.6239118227629903,0.2280754456101778
2021-10-16,Matchweek 8,L,Away,0,1,0.1,2.3,0.1447987682021166,2.740462567489248
2021-10-23,Matchweek 9,D,Home,1,1,1.9,1.0,1.9727627413542175,0.8056895845069785
2021-10-31,Matchweek 10,W,Away,2,1,1.2,0.9,1.5824799006341495,1.1224993170669857
2021-11-07,Matchweek 11,D,Home,1,1,1.6,0.9,1.8646413910810042,0.8849228228791072
2021-11-21,Matchweek 12,L,Away,1,2,1.7,1.7,1.3865692896324857,1.3865692896324857
2021-11-27,Matchweek 13,D,Away,0,0,0.9,2.5,0.5071045926181992,2.3265852125560027
2021-11-30,Matchweek 14,W,Home,1,0,1.6,1.3,1.5777428893288774,1.1774090241538961
2021-12-05,Matchweek 15,D,Home,2,2,1.1,1.0,1.4274252488778383,1.273509650848866
2021-12-11,Matchweek 16,L,Away,2,3,1.8,2.6,0.9730254958027009,1.8378528779629417
2021-12-14,Matchweek 17,L,Away,0,7,0.3,3.2,0.1155209370633359,2.8004038848440906
2021-12-18,Matchweek 18,L,Home,1,4,1.6,3.4,0.5705802803706423,2.2681810911459723
2022-01-02,Matchweek 21,W,Home,3,1,2.0,0.9,2.0973521965515034,0.693307699924367
2022-01-16,Matchweek 22,W,Away,3,2,2.6,2.5,1.45644242723272,1.3542263835395434
2022-01-22,Matchweek 23,L,Home,0,1,1.3,1.0,1.5815704232709729,1.1388015707562456
2022-02-09,Matchweek 24,D,Away,3,3,1.8,2.1,1.2206436164880525,1.5702017179198373
2022-02-12,Matchweek 25,L,Away,0,3,0.4,2.7,0.2148685767627839,2.670864347072838
2022-02-20,Matchweek 26,L,Home,2,4,1.6,2.5,0.9042545966263744,1.9048856227298445
2022-02-23,Matchweek 19,L,Away,0,6,0.2,5.4,0.01289488940687512,2.686147248595146
2022-02-26,Matchweek 27,L,Home,0,4,1.9,2.3,1.1752305438624526,1.6240995320446119
2022-03-05,Matchweek 28,L,Away,0,1,2.0,0.5,2.379371234314161,0.432796656992346
2022-03-10,Matchweek 20,L,Home,0,3,0.2,1.3,0.4526660566458214,2.262280905983922
2022-03-13,Matchweek 29,W,Home,2,1,2.4,1.4,1.9757293024455818,0.8317061237243899
2022-03-18,Matchweek 30,W,Away,3,2,2.2,1.1,2.065357700732644,0.7361414194351943
2022-04-02,Matchweek 31,D,Home,1,1,1.4,1.5,1.3092912641965164,1.4431634881474247
2022-04-09,Matchweek 32,W,Away,3,0,0.7,1.1,1.0150956067751526,1.6656161850215419
2022-04-25,Matchweek 34,D,Away,0,0,0.6,2.1,0.4631498334472096,2.3532360987393965
2022-04-30,Matchweek 35,L,Home,0,4,1.3,2.5,0.7316399542844144,2.0844807335308864
2022-05-08,Matchweek 36,L,Away,1,2,0.5,2.5,0.29908600000344565,2.563101180213688
2022-05-11,Matchweek 33,L,Home,0,3,0.4,1.6,0.5026444728021455,2.2603852723536275
2022-05-15,Matchweek 37,D,Home,1,1,1.9,2.4,1.1248649453143613,1.6780438011065766
2022-05-22,Matchweek 38,W,Away,2,1,1.4,1.2,1.5091104829037236,1.2284831792268514
