Date,Round,Result,Venue,GF,GA,xG,xGA,xPLeeds,xPOpp
2020-09-12,Matchweek 1,L,Away,3,4,0.3,2.7,0.17424477181211412,2.7209600178621183
2020-09-19,Matchweek 2,W,Home,4,3,1.4,1.7,1.1877396870153483,1.5763010354394917
2020-09-27,Matchweek 3,W,Away,1,0,1.2,1.4,1.2284831792268514,1.5091104829037236
2020-10-03,Matchweek 4,D,Home,1,1,2.4,1.2,2.0990794599370806,0.7138434063994541
2020-10-19,Matchweek 5,L,Home,0,1,1.0,0.4,1.8526002589388464,0.7918472040745458
2020-10-23,Matchweek 6,W,Away,3,0,2.7,1.4,2.1147793974073514,0.7092875413271105
2020-11-02,Matchweek 7,L,Home,1,4,2.1,2.9,1.0024576455810412,1.8140755324303495
2020-11-07,Matchweek 8,L,Away,1,4,0.8,0.9,1.2462469514677086,1.4138778309899835
2020-11-22,Matchweek 9,D,Home,0,0,1.8,0.9,1.9868515068578276,0.7838509116405934
2020-11-28,Matchweek 10,W,Away,1,0,2.9,1.2,2.3060569151047163,0.5360647011149356
2020-12-05,Matchweek 11,L,Away,1,3,0.8,4.1,0.1531893723759528,2.7124241195313266
2020-12-11,Matchweek 12,L,Home,1,2,1.6,1.3,1.5777428893288774,1.1774090241538961
2020-12-16,Matchweek 13,W,Home,5,2,2.7,1.5,2.057221107115155,0.7637872120512503
2020-12-20,Matchweek 14,L,Away,2,6,1.8,3.6,0.598358894849837,2.2328183203435037
2020-12-27,Matchweek 15,W,Home,1,0,1.9,1.5,1.6364744441578027,1.1409413434878801
2020-12-29,Matchweek 16,W,Away,5,0,1.2,0.5,1.9170686371091104,0.7730434123762479
2021-01-02,Matchweek 17,L,Away,0,3,1.1,2.6,0.5826258269278854,2.2476221484500245
2021-01-16,Matchweek 19,L,Home,0,1,0.3,1.4,0.5005499162366226,2.2315482701661065
2021-01-26,Matchweek 20,W,Away,2,1,0.7,1.4,0.8358559465681208,1.8888239705412142
2021-01-31,Matchweek 21,W,Away,3,1,2.1,1.8,1.5702017179198373,1.2206436164880525
2021-02-03,Matchweek 22,L,Home,1,2,1.3,1.6,1.1774090241538961,1.5777428893288774
2021-02-08,Matchweek 23,W,Home,2,0,1.9,0.4,2.4078409551181936,0.3994533566916745
2021-02-14,Matchweek 24,L,Away,2,4,0.9,2.3,0.5752390852427729,2.2425728717903466
2021-02-19,Matchweek 25,L,Away,0,1,1.7,0.6,2.15554270189627,0.612490292268292
2021-02-23,Matchweek 18,W,Home,3,0,1.3,0.9,1.657932178806418,1.0583690624629674
2021-02-27,Matchweek 26,L,Home,0,1,0.9,0.7,1.496034452605599,1.1533804779465948
2021-03-08,Matchweek 27,L,Away,0,2,1.4,1.8,1.1303898116962166,1.6397523428953626
2021-03-13,Matchweek 28,D,Home,0,0,0.4,1.0,0.7918472040745458,1.8526002589388464
2021-03-19,Matchweek 29,W,Away,2,1,1.3,1.6,1.1774090241538961,1.5777428893288774
2021-04-03,Matchweek 30,W,Home,2,1,2.4,1.1,2.1612318207014556,0.6553702097160454
2021-04-10,Matchweek 31,W,Away,2,1,0.1,2.1,0.17401920892542475,2.689646565713734
2021-04-19,Matchweek 32,D,Home,1,1,2.3,1.4,1.9250928198563952,0.8763204669700727
2021-04-25,Matchweek 33,D,Home,0,0,0.3,1.2,0.587636557474915,2.10136665312391
2021-05-01,Matchweek 34,L,Away,0,2,0.6,2.3,0.40215389922937,2.4343863687734935
2021-05-08,Matchweek 35,W,Home,3,1,2.5,0.9,2.3265852125560027,0.5071045926181992
2021-05-15,Matchweek 36,W,Away,4,0,1.5,1.3,1.5100711277720906,1.2384437720018284
2021-05-18,Matchweek 37,W,Away,2,0,1.7,1.6,1.4479832775212393,1.3217070022662687
2021-05-23,Matchweek 38,W,Home,3,1,2.3,1.0,2.178448255032863,0.6346978980112697
