Date,Round,Result,Venue,GF,GA,xG,xGA,xPTeam,xPOpp,ActualPoints
2018-08-11,Matchweek 1,L,Home,1,2,1.0,2.0,0.7594630336843279,2.0281091657601964,0
2018-08-18,Matchweek 2,D,Away,0,0,1.6,0.9,1.8646413910810042,0.8849228228791072,1
2018-08-26,Matchweek 3,L,Home,1,2,0.2,1.5,0.38155977678580316,2.376618442476758,0
2018-09-01,Matchweek 4,L,Away,1,2,0.5,2.0,0.432796656992346,2.379371234314161,0
2018-09-15,Matchweek 5,L,Home,1,2,0.4,1.0,0.7918472040745458,1.8526002589388464,0
2018-09-22,Matchweek 6,D,Away,0,0,0.2,0.9,0.6364459973329106,1.968013902205926,1
2018-09-29,Matchweek 7,L,Home,0,2,0.4,1.3,0.6314468231058299,2.0777602025252246,0
2018-10-06,Matchweek 8,L,Away,2,3,1.6,1.9,1.205654835335112,1.573316172723291,0
2018-10-20,Matchweek 9,L,Home,0,1,1.8,0.8,2.0601669383883734,0.7130240832984192,0
2018-10-27,Matchweek 10,D,Away,0,0,0.4,1.1,0.7344502154031278,1.9328928179999831,1
2018-11-03,Matchweek 11,W,Home,1,0,0.5,2.0,0.432796656992346,2.379371234314161,3
2018-11-10,Matchweek 12,W,Home,2,1,2.2,1.6,1.7476803824789977,1.0463707418911656,3
2018-11-26,Matchweek 13,W,Away,2,1,1.6,1.8,1.2626842226398631,1.511530159798911,3
2018-12-01,Matchweek 14,L,Home,0,3,1.0,2.5,0.562150440380822,2.2661770169301017,0
2018-12-05,Matchweek 15,D,Away,1,1,1.5,1.8,1.1971117595731806,1.5748229833930767,1
2018-12-09,Matchweek 16,L,Home,1,2,0.6,1.8,0.5713755827120304,2.2097502214353852,0
2018-12-15,Matchweek 17,W,Away,1,0,0.6,0.8,1.1299677367699816,1.4900834668071017,3
2018-12-22,Matchweek 18,D,Home,0,0,0.4,0.2,1.4339884611566909,0.9724090272546502,1
2018-12-26,Matchweek 19,L,Away,0,4,0.5,2.9,0.22178470964658353,2.6666376758406383,0
2018-12-29,Matchweek 20,D,Away,1,1,0.7,1.3,0.8920871781695474,1.8183770086118993,1
2019-01-02,Matchweek 21,L,Home,0,2,0.7,2.6,0.3737430959628696,2.480309517617533,0
2019-01-12,Matchweek 22,L,Away,1,2,0.5,1.3,0.7195721149922285,1.9888840425827146,0
2019-01-19,Matchweek 23,W,Home,3,0,2.0,0.3,2.520870321942951,0.3083552282217387,3
2019-01-29,Matchweek 24,W,Home,2,1,1.1,1.4,1.153174889609039,1.5804241086656052,3
2019-02-02,Matchweek 25,L,Away,0,1,0.4,2.2,0.31695608388448737,2.5261355604254683,0
2019-02-11,Matchweek 26,D,Away,1,1,0.4,2.3,0.2933378676381292,2.559941715750693,1
2019-02-23,Matchweek 27,W,Home,2,0,2.8,0.2,2.7861760652950847,0.12470288101031128,3
2019-02-26,Matchweek 28,W,Home,2,0,1.4,1.6,1.247363212724653,1.5107611380330603,3
2019-03-02,Matchweek 29,L,Away,0,2,1.1,2.0,0.8256177072242854,1.9596674723659178,0
2019-03-09,Matchweek 30,W,Home,3,2,2.4,1.1,2.1612318207014556,0.6553702097160454,3
2019-03-16,Matchweek 31,D,Away,2,2,1.1,1.3,1.217276603633156,1.5078001556983547,1
2019-04-01,Matchweek 32,L,Away,0,2,0.1,0.8,0.573142235362708,1.9871056677631331,0
2019-04-06,Matchweek 33,L,Home,0,1,0.9,0.9,1.3355625953975507,1.3355625953975507,0
2019-04-12,Matchweek 34,W,Away,1,0,1.1,1.0,1.4274252488778383,1.273509650848866,3
2019-04-20,Matchweek 35,W,Home,3,1,1.4,1.2,1.5091104829037236,1.2284831792268514,3
2019-04-27,Matchweek 36,D,Away,1,1,0.4,1.3,0.6314468231058299,2.0777602025252246,1
2019-05-04,Matchweek 37,L,Home,2,3,1.4,1.2,1.5091104829037236,1.2284831792268514,0
2019-05-12,Matchweek 38,W,Away,4,0,2.1,0.7,2.284803316715725,0.5252437559388115,3
