Date,Round,Result,Venue,GF,GA,xG,xGA,xPLeeds,xPOpp
2019-08-10,Matchweek 1,D,Away,1,1,1.3,1.3,1.368015592220928,1.368015592220928
2019-08-18,Matchweek 2,W,Home,1,0,2.2,0.3,2.5906009121255944,0.26210707379763554
2019-08-24,Matchweek 3,L,Home,1,2,0.3,0.8,0.8084722237442759,1.773843988806926
2019-08-31,Matchweek 4,D,Away,2,2,1.1,2.0,0.8256177072242854,1.9596674723659178
2019-09-14,Matchweek 5,L,Home,0,1,1.8,1.6,1.5115301597989106,1.2626842226398631
2019-09-21,Matchweek 6,W,Away,2,0,0.5,1.0,0.8915104064403099,1.759045872723184
2019-09-28,Matchweek 7,L,Home,0,1,1.3,1.9,1.0087817180586693,1.767108449571914
2019-10-05,Matchweek 8,D,Away,0,0,0.4,1.4,0.5853215090370811,2.142968694931986
2019-10-21,Matchweek 9,W,Home,1,0,0.9,1.0,1.260973949068917,1.4213478016764518
2019-10-26,Matchweek 10,D,Away,1,1,1.0,2.3,0.6346978980112697,2.178448255032863
2019-11-02,Matchweek 11,W,Home,3,0,2.3,0.8,2.3067186799202766,0.5165253200915225
2019-11-09,Matchweek 12,D,Away,1,1,0.9,1.8,0.7838509116405934,1.9868515068578276
2019-11-24,Matchweek 13,D,Home,3,3,1.3,1.3,1.368015592220928,1.368015592220928
2019-12-01,Matchweek 14,D,Away,1,1,1.5,1.3,1.5100711277720906,1.2384437720018284
2019-12-05,Matchweek 15,L,Home,0,2,1.1,0.5,1.8405432519637008,0.830275568311314
2019-12-08,Matchweek 16,W,Away,2,1,0.8,0.7,1.4045694051678421,1.2287259787799998
2019-12-14,Matchweek 17,W,Home,2,0,1.7,1.1,1.7819863144715669,0.977666255790959
2019-12-21,Matchweek 18,W,Away,1,0,1.3,0.5,1.9888840425827146,0.7195721149922285
2019-12-26,Matchweek 19,D,Home,1,1,2.4,0.6,2.470992911843106,0.374607555112759
2019-12-29,Matchweek 20,L,Away,0,2,1.1,1.1,1.354334052320223,1.354334052320223
2020-01-02,Matchweek 21,L,Away,0,2,0.6,2.8,0.2814229576838408,2.5934003779238495
2020-01-10,Matchweek 22,W,Home,1,0,1.4,0.7,1.8888239705412142,0.8358559465681208
2020-01-18,Matchweek 23,D,Away,1,1,0.8,1.4,0.9173342206320958,1.808324940851631
2020-01-21,Matchweek 24,L,Home,0,1,0.8,2.8,0.3714547321872741,2.488603727988688
2020-02-01,Matchweek 25,W,Away,1,0,0.7,0.8,1.2287259787799998,1.4045694051678421
2020-02-09,Matchweek 26,W,Home,2,1,1.9,1.4,1.7010922574813934,1.0752772050188675
2020-02-22,Matchweek 27,D,Home,1,1,1.6,1.2,1.646667483281227,1.1060671445497259
2020-03-07,Matchweek 29,W,Home,1,0,0.9,2.4,0.5401824331078948,2.285812091738454
2020-06-17,Matchweek 28,D,Away,0,0,0.3,1.4,0.5005499162366226,2.2315482701661065
2020-06-21,Matchweek 30,L,Away,0,3,0.6,2.0,0.49685541377650144,2.3084460457972478
2020-06-24,Matchweek 31,L,Away,0,3,0.1,2.4,0.13207801763783628,2.76233662730088
2020-07-02,Matchweek 32,W,Home,3,1,1.6,1.1,1.7174954644334957,1.033450146389525
2020-07-05,Matchweek 33,D,Away,1,1,1.1,1.3,1.217276603633156,1.5078001556983547
2020-07-08,Matchweek 34,W,Home,1,0,0.5,0.4,1.358203179944129,1.149756032691544
2020-07-11,Matchweek 35,W,Home,3,0,2.3,1.2,2.0508730775787645,0.755096524820139
2020-07-16,Matchweek 36,L,Away,0,2,0.7,2.6,0.3737430959628696,2.480309517617533
2020-07-20,Matchweek 37,L,Home,0,1,0.5,0.4,1.358203179944129,1.149756032691544
2020-07-26,Matchweek 38,L,Away,1,3,1.4,1.7,1.1877396870153483,1.5763010354394917
