Date,Round,Result,Venue,GF,GA,xG,xGA,xPTeam,xPOpp,ActualPoints
2020-09-14,Matchweek 1,L,Home,0,2,1.0,1.4,1.0761361281363386,1.654081744259043,0
2020-09-21,Matchweek 2,L,Away,0,1,0.9,1.0,1.260973949068917,1.4213478016764518,0
2020-09-27,Matchweek 3,L,Home,0,1,1.4,1.2,1.5091104829037236,1.2284831792268514,0
2020-10-04,Matchweek 4,L,Away,1,2,0.2,0.6,0.8209899039155142,1.6741222930463344,0
2020-10-18,Matchweek 5,D,Home,1,1,1.7,1.5,1.5112352995463838,1.255401548043248,1
2020-10-24,Matchweek 6,L,Away,1,2,1.6,2.3,0.9971323984047322,1.8020237579284946,0
2020-10-31,Matchweek 7,L,Home,0,1,0.5,1.6,0.5794914091148751,2.1785263212363764,0
2020-11-07,Matchweek 8,L,Away,1,4,0.4,2.2,0.31695608388448737,2.5261355604254683,0
2020-11-22,Matchweek 9,L,Home,0,1,0.9,2.1,0.6516958527960717,2.148417401173406,0
2020-11-28,Matchweek 10,L,Away,0,1,2.9,1.2,2.3060569151047163,0.5360647011149356,0
2020-12-06,Matchweek 11,L,Home,1,2,0.2,1.4,0.41561228524223803,2.3218288427357474,0
2020-12-13,Matchweek 12,L,Away,0,3,0.3,2.0,0.3083552282217388,2.520870321942951,0
2020-12-17,Matchweek 13,L,Home,2,3,1.5,1.9,1.1409413434878801,1.6364744441578027,0
2020-12-20,Matchweek 14,D,Away,1,1,0.5,2.8,0.23906365686247028,2.6439739904901516,1
2020-12-26,Matchweek 15,L,Home,0,1,1.4,0.7,1.8888239705412142,0.8358559465681208,0
2020-12-29,Matchweek 16,L,Away,0,1,0.7,1.0,1.0822347731332367,1.583002058500861,0
2021-01-02,Matchweek 17,L,Away,0,2,0.4,0.6,1.067608305295273,1.4707802683919615,0
2021-01-12,Matchweek 18,W,Home,1,0,2.1,0.6,2.3532360987393965,0.4631498334472096,3
2021-01-17,Matchweek 19,L,Home,1,3,0.9,1.0,1.260973949068917,1.4213478016764518,0
2021-01-27,Matchweek 20,W,Away,2,1,1.0,1.1,1.2735096508488657,1.4274252488778383,3
2021-01-30,Matchweek 21,L,Away,0,1,0.2,1.5,0.38155977678580316,2.376618442476758,0
2021-02-02,Matchweek 22,W,Home,2,1,1.3,1.6,1.1774090241538961,1.5777428893288774,3
2021-02-07,Matchweek 23,L,Home,1,2,0.6,1.6,0.6563879657614788,2.097879690767398,0
2021-02-15,Matchweek 24,L,Away,0,3,0.7,1.9,0.6007007404095723,2.1876260628525412,0
2021-02-20,Matchweek 25,L,Away,0,1,0.9,1.2,1.1224993170669857,1.5824799006341495,0
2021-02-28,Matchweek 26,L,Home,0,2,0.7,2.7,0.34888924413748557,2.5120608695388125,0
2021-03-03,Matchweek 29,W,Home,1,0,0.9,2.3,0.5752390852427729,2.2425728717903466,3
2021-03-06,Matchweek 27,L,Home,0,2,0.7,1.9,0.6007007404095723,2.1876260628525412,0
2021-03-14,Matchweek 28,L,Away,0,5,0.1,4.0,0.030222387265945595,2.881792445677125,0
2021-04-03,Matchweek 30,L,Away,1,2,1.1,2.4,0.6553702097160454,2.1612318207014556,0
2021-04-11,Matchweek 31,L,Home,0,3,0.3,1.7,0.3931020282261729,2.393011596967975,0
2021-04-17,Matchweek 32,L,Away,0,1,0.5,1.1,0.830275568311314,1.8405432519637008,0
2021-04-24,Matchweek 33,W,Home,1,0,0.7,2.0,0.5617860628883142,2.237680603201754,3
2021-05-02,Matchweek 34,L,Away,0,4,0.5,2.2,0.3735488766856444,2.4609179932813747,0
2021-05-08,Matchweek 35,L,Home,0,2,0.7,2.0,0.5617860628883142,2.237680603201754,0
2021-05-16,Matchweek 36,W,Away,1,0,1.2,1.4,1.2284831792268514,1.5091104829037236,3
2021-05-19,Matchweek 37,L,Away,0,1,0.9,1.6,0.8849228228791074,1.8646413910810042,0
2021-05-23,Matchweek 38,W,Home,1,0,0.5,1.1,0.830275568311314,1.8405432519637008,3
