Date,Round,Result,Venue,GF,GA,xG,xGA,xPTeam,xPOpp,ActualPoints
2020-09-21,Matchweek 2,W,Home,1,0,1.0,0.9,1.4213478016764518,1.260973949068917,3
2020-09-28,Matchweek 3,W,Away,3,0,1.4,0.7,1.8888239705412142,0.8358559465681208,3
2020-10-04,Matchweek 4,W,Home,7,2,2.7,1.8,1.8860676015793598,0.928580206961906,3
2020-10-18,Matchweek 5,W,Away,1,0,0.7,0.6,1.3928088903646543,1.20760124124969,3
2020-10-23,Matchweek 6,L,Home,0,3,1.4,2.7,0.7092875413271105,2.1147793974073514,0
2020-11-01,Matchweek 7,L,Home,3,4,1.9,0.7,2.1876260628525412,0.6007007404095723,0
2020-11-08,Matchweek 8,W,Away,3,0,1.8,1.5,1.5748229833930767,1.1971117595731806,3
2020-11-21,Matchweek 9,L,Home,1,2,1.5,1.4,1.4431634881474247,1.3092912641965164,0
2020-11-30,Matchweek 10,L,Away,1,2,2.5,0.4,2.6200171176034686,0.25113199866006886,0
2020-12-12,Matchweek 12,W,Away,1,0,1.4,1.1,1.5804241086656052,1.153174889609039,3
2020-12-17,Matchweek 13,D,Home,0,0,1.5,0.3,2.289558674962709,0.4618760781529138,1
2020-12-20,Matchweek 14,W,Away,3,0,2.4,0.0,2.815978158652162,0.09071795328941251,3
2020-12-26,Matchweek 15,W,Home,3,0,3.9,0.9,2.6661213453342216,0.2034242680772479,3
2020-12-28,Matchweek 16,D,Away,1,1,0.7,1.7,0.6862000829047281,2.078218097050837,1
2021-01-01,Matchweek 17,L,Away,1,2,1.4,2.1,0.9715953006200403,1.8173791218974444,0
2021-01-20,Matchweek 1,L,Away,0,2,0.6,3.4,0.18213608926175162,2.7133329419503007,0
2021-01-23,Matchweek 11,W,Home,2,0,2.3,0.5,2.497531019106559,0.3469348436364223,3
2021-01-27,Matchweek 20,L,Away,2,3,2.2,0.5,2.4609179932813747,0.3735488766856444,0
2021-01-30,Matchweek 21,W,Away,1,0,0.6,1.9,0.5328819329361942,2.260666219434816,3
2021-02-03,Matchweek 22,L,Home,1,3,0.7,1.7,0.6862000829047281,2.078218097050837,0
2021-02-06,Matchweek 23,W,Home,1,0,1.2,0.8,1.661809688461536,1.0382033576502216,3
2021-02-13,Matchweek 24,D,Away,0,0,0.1,2.2,0.1587402728121154,2.7162921788381973,1
2021-02-21,Matchweek 25,L,Home,1,2,1.4,1.1,1.5804241086656052,1.153174889609039,0
2021-02-27,Matchweek 26,W,Away,1,0,0.7,0.9,1.1533804779465948,1.496034452605599,3
2021-03-03,Matchweek 29,L,Away,0,1,2.3,0.9,2.2425728717903466,0.5752390852427729,0
2021-03-06,Matchweek 27,D,Home,0,0,0.6,1.6,0.6563879657614788,2.097879690767398,1
2021-03-12,Matchweek 28,D,Away,1,1,0.9,1.5,0.9397044008529708,1.79893793582267,1
2021-03-21,Matchweek 18,L,Home,0,2,0.4,1.8,0.43132825802755204,2.3621989622767647,0
2021-04-04,Matchweek 30,W,Home,3,1,1.5,1.0,1.7236012168052943,1.0164648259893678,3
2021-04-10,Matchweek 31,L,Away,1,2,0.5,2.3,0.3469348436364223,2.4975310191065585,0
2021-04-21,Matchweek 32,L,Home,1,2,0.7,1.2,0.9517742971553812,1.744024558670974,0
2021-04-25,Matchweek 33,D,Home,2,2,3.2,1.5,2.2530506379403126,0.5864133485448686,1
2021-05-01,Matchweek 34,W,Away,2,1,1.6,1.0,1.7901751411155713,0.9596866427062957,3
2021-05-09,Matchweek 35,L,Home,1,3,0.5,1.7,0.5388905719814705,2.2339006280588727,0
2021-05-13,Matchweek 19,D,Home,0,0,0.6,1.0,0.9883384317481929,1.669195114147351,1
2021-05-16,Matchweek 36,L,Away,2,3,1.4,1.9,1.0752772050188677,1.7010922574813934,0
2021-05-19,Matchweek 37,W,Away,2,1,1.4,0.8,1.808324940851631,0.9173342206320958,3
2021-05-23,Matchweek 38,W,Home,2,1,1.1,3.3,0.3820157809427092,2.4793438986000873,3
