Date,Round,Result,Venue,GF,GA,xG,xGA,xPLeeds,xPOpp
2018-08-11,Matchweek 1,D,Home,2,2,1.0,1.0,1.345742463117789,1.345742463117789
2018-08-18,Matchweek 2,L,Away,0,2,1.1,0.2,2.12728327485283,0.5368412947566462
2018-08-25,Matchweek 3,D,Home,1,1,1.0,1.6,0.9596866427062956,1.7901751411155713
2018-09-01,Matchweek 4,W,Away,1,0,1.0,1.1,1.2735096508488657,1.4274252488778383
2018-09-16,Matchweek 5,W,Home,1,0,2.6,0.3,2.69935400333037,0.18911297266337398
2018-09-22,Matchweek 6,D,Away,1,1,1.0,0.6,1.669195114147351,0.9883384317481929
2018-09-29,Matchweek 7,W,Home,2,0,1.6,0.8,1.9408143917214464,0.8093240153620587
2018-10-06,Matchweek 8,W,Away,1,0,0.7,1.4,0.8358559465681208,1.8888239705412142
2018-10-20,Matchweek 9,L,Home,0,2,0.7,1.1,1.0150956067751526,1.6656161850215419
2018-10-27,Matchweek 10,L,Away,0,1,1.4,0.9,1.7300606626919124,0.9974787160169881
2018-11-03,Matchweek 11,L,Home,2,3,2.7,1.4,2.1147793974073514,0.7092875413271105
2018-11-11,Matchweek 12,D,Away,1,1,1.9,0.9,2.043524049851996,0.7373215701700141
2018-11-25,Matchweek 13,L,Home,0,2,0.8,0.7,1.4045694051678421,1.2287259787799998
2018-11-30,Matchweek 14,L,Away,1,2,0.8,1.0,1.1731290455159207,1.5004089065568402
2018-12-05,Matchweek 15,W,Home,2,1,0.7,1.3,0.8920871781695474,1.8183770086118993
2018-12-09,Matchweek 16,W,Away,2,1,1.8,0.6,2.2097502214353852,0.5713755827120304
2018-12-15,Matchweek 17,W,Home,2,0,1.8,0.6,2.2097502214353852,0.5713755827120304
2018-12-21,Matchweek 18,L,Home,0,2,0.9,1.9,0.737321570170014,2.043524049851996
2018-12-26,Matchweek 19,D,Away,1,1,1.4,1.2,1.5091104829037236,1.2284831792268514
2018-12-29,Matchweek 20,W,Away,3,1,0.9,0.3,1.8651610195712867,0.7466641497964595
2019-01-02,Matchweek 21,L,Home,0,2,0.5,1.9,0.4657112346533864,2.334136346870832
2019-01-14,Matchweek 22,L,Away,0,3,0.1,2.8,0.09140602316437563,2.8297532997745387
2019-01-19,Matchweek 23,W,Home,4,3,1.9,1.9,1.3930596467685643,1.3930596467685643
2019-01-29,Matchweek 24,W,Home,3,0,2.2,0.2,2.6540724824352946,0.20927368745051367
2019-02-02,Matchweek 25,W,Away,3,1,1.4,1.2,1.5091104829037236,1.2284831792268514
2019-02-11,Matchweek 26,D,Home,1,1,2.3,0.4,2.559941715750693,0.2933378676381292
2019-02-23,Matchweek 27,D,Away,1,1,1.5,2.4,0.8907858418903654,1.9147708847959237
2019-02-26,Matchweek 28,L,Away,0,1,0.6,1.6,0.6563879657614788,2.097879690767398
2019-03-02,Matchweek 29,W,Home,2,0,2.8,0.6,2.5934003779238495,0.2814229576838408
2019-03-10,Matchweek 30,D,Away,1,1,0.5,1.1,0.830275568311314,1.8405432519637008
2019-03-30,Matchweek 32,L,Away,0,2,0.5,0.5,1.2671201858967085,1.2671201858967085
2019-04-02,Matchweek 33,W,Home,2,1,1.8,1.8,1.3899976761200072,1.3899976761200072
2019-04-13,Matchweek 34,L,Away,1,3,0.8,2.9,0.3474734314915985,2.5180600280213206
2019-04-20,Matchweek 35,D,Home,0,0,2.7,0.2,2.769298806508967,0.13596438702620203
2019-04-24,Matchweek 31,W,Home,3,1,1.2,0.8,1.661809688461536,1.0382033576502216
2019-04-27,Matchweek 36,W,Away,2,1,2.0,0.8,2.1672599718660903,0.627345510201805
2019-05-04,Matchweek 37,W,Home,1,0,2.0,0.5,2.379371234314161,0.432796656992346
2019-05-12,Matchweek 38,L,Away,0,2,1.3,1.6,1.1774090241538961,1.5777428893288774
